SN,ATS6m,F09[N-O],CATS2D_05_AA,SM14_AEA(dm),CATS2D_03_NL,RDF140v,CATS2D_07_AA,J_Dz(p),pIC50
D5_17,3.646,0,1,4.577,1,0,0,1.646,5.398
D4_17,4.306,0,0,7.549,0,3.713,0,1.239,8.222
D3_24,3.531,2,0,5.694,2,0.8622,0,1.682,5.824
D1_02,3.919,0,0,6.411,0,0.176,0,1.741,8.215
D4_13,4.303,0,0,7.549,0,2.285,0,1.207,8.301
D4_51,4.313,2,0,7.609,0,3.635,0,1.197,5.735
D4_16,4.229,0,0,7.51,0,2.78,0,1.215,8.222
D1_19,3.865,0,0,6.348,0,0.5583,0,1.603,7.509
D5_29,3.764,0,4,4.928,0,0,0,1.784,4.481
D2_29,3.366,0,0,4.756,2,0.9496,0,1.401,5.092
D5_22,3.694,0,4,5.077,0,0,1,1.789,5
D2_03,3.272,0,0,5.029,0,1.058,0,1.727,6.921
D4_27,4.091,0,0,7.595,0,0.3416,0,1.249,7.538
D2_24,3.196,0,0,5.029,0,0.05968,0,1.678,5.688
D3_33,3.633,2,0,6.499,2,0.06442,0,1.715,6.921
D1_21,3.871,0,0,6.351,0,0.9918,1,1.716,6.77
D2_12,3.189,0,0,5.029,0,0.3009,0,1.7,6.292
D3_18,3.677,2,0,6.604,0,0.00262,0,1.596,6.602
D4_23,4.321,0,0,8.458,0,8.313,0,1.308,7.886
D2_08,3.321,0,0,5.033,0,0.3038,0,1.746,6.658
D1_08,4.175,0,0,6.464,0,2.599,0,1.806,6.572
D3_01,3.762,2,0,6.647,0,0.02983,0,1.675,7.201
D5_31,3.664,0,4,4.928,0,0,0,1.725,4.398
D5_32,3.629,0,4,5.094,0,0,1,1.76,4.357
D3_36,3.717,2,0,7.335,0,1.698,0,1.278,7.097
D4_10,4.322,0,0,8.235,0,2.523,0,1.228,8.398
D4_04,4.222,0,0,7.602,0,0.3357,0,1.225,8.699
D3_08,3.944,2,0,6.651,0,1.065,0,1.513,7.523
D3_29,3.523,2,0,5.057,1,0.02368,0,1.621,5.046
D4_29,4.414,0,0,7.613,0,6.268,0,1.081,7.456
D2_36,3.307,0,0,5.034,2,2.619,0,1.664,4.699
D1_03,3.967,0,0,6.516,0,1.629,0,1.756,7.951
D3_05,3.64,2,0,4.187,0,0.3776,0,1.642,6.046
D4_50,4.088,0,0,7.345,0,1.974,1,1.174,5.961
D3_20,4.034,2,0,6.795,0,1.791,0,1.407,6.921
D1_27,4.026,0,0,6.36,0,0.04331,0,1.768,8
D4_42,4.143,0,0,7.342,0,3.148,1,1.171,6.767
D5_16,3.533,0,0,3.384,1,0,0,1.769,5.523
D3_32,3.881,2,0,6.791,3,0.03406,0,1.418,5.602
D4_48,3.941,0,0,7.186,0,0.07237,1,1.133,6.492
D5_15,3.707,0,4,5.081,0,0,0,1.75,5.523
D4_19,3.929,0,0,7.453,0,0.5753,0,1.195,8.155
D4_49,3.913,1,1,7.186,0,0,1,1.147,6.341
D4_38,3.884,0,1,7.331,0,2.681,0,1.178,6.971
D5_18,3.542,0,4,4.493,0,0,0,1.721,5.301
D4_07,4.563,0,0,9.175,0,5.085,0,1.172,8.523
D4_47,3.881,0,0,7.331,0,2.5,0,1.189,6.493
D1_22,3.904,0,0,6.352,0,2.434,1,1.692,8.046
D1_01,3.868,0,0,6.351,0,0.9271,0,1.734,8.387
D4_31,4.035,0,1,7.506,0,2.251,0,1.17,7.398
D5_01,3.986,0,0,5.163,1,0,0,1.74,7.237
D4_06,4.214,0,0,7.609,0,2.677,0,1.067,8.523
